Measure Info,Geo Place Name,Time Period,Start_Date,Data Value
number,Southeast Queens,2015,01/01/2015,0.3
number,Bensonhurst - Bay Ridge,2015,01/01/2015,1.2
mcg/m3,Bensonhurst - Bay Ridge,Annual Average 2012,12/01/2011,8.6
mcg/m3,Southeast Queens,Annual Average 2012,12/01/2011,8
mcg/m3,Southeast Queens,Summer 2022,06/01/2022,6.1
mcg/m3,Bensonhurst - Bay Ridge,Summer 2012,06/01/2012,10
mcg/m3,Bensonhurst - Bay Ridge,Summer 2013,06/01/2013,9.8
mcg/m3,Southeast Queens,Summer 2013,06/01/2013,9.8
mcg/m3,Southeast Queens,Summer 2012,06/01/2012,9.6
mcg/m3,Rockaways,Summer 2021,06/01/2021,7.2
mcg/m3,Bensonhurst - Bay Ridge,Annual Average 2013,12/01/2012,8.2
mcg/m3,Coney Island - Sheepshead Bay,Annual Average 2013,12/01/2012,8.1
mcg/m3,Southeast Queens,Annual Average 2017,01/01/2017,6.8
mcg/m3,Coney Island - Sheepshead Bay,Annual Average 2017,01/01/2017,6.8
mcg/m3,Bensonhurst - Bay Ridge,Summer 2009,06/01/2009,10.6
mcg/m3,Bensonhurst - Bay Ridge,Annual Average 2017,01/01/2017,7.1
number,Coney Island - Sheepshead Bay,2013,01/01/2013,0.9
number,Bensonhurst - Bay Ridge,2013,01/01/2013,1.7
number,Rockaways,2013,01/01/2013,0
mcg/m3,Rockaways,Summer 2016,06/01/2016,6.9
mcg/m3,Southeast Queens,Summer 2011,06/01/2011,10.8
mcg/m3,Rockaways,Summer 2012,06/01/2012,9.4
mcg/m3,Bensonhurst - Bay Ridge,Annual Average 2016,12/31/2015,7.1
mcg/m3,Rockaways,Summer 2013,06/01/2013,9.5
mcg/m3,Rockaways,Annual Average 2016,12/31/2015,6
mcg/m3,Southeast Queens,Winter 2021-22,12/01/2021,6.4
ppb,Bensonhurst - Bay Ridge,Annual Average 2013,12/01/2012,18.6
ppb,Bensonhurst - Bay Ridge,Annual Average 2017,01/01/2017,17.7
ppb,Southeast Queens,Winter 2010-11,12/01/2010,25.7
ppb,Southeast Queens,Summer 2009,06/01/2009,16.1
ppb,Rockaways,Annual Average 2017,01/01/2017,12.7
ppb,Rockaways,Annual Average 2021,01/01/2021,11.4
ppb,Rockaways,Summer 2009,06/01/2009,8.6
ppb,Rockaways,Winter 2014-15,12/01/2014,20.7
mcg/m3,Williamsburg - Bushwick,Annual Average 2012,12/01/2011,9.7
mcg/m3,Williamsburg - Bushwick,Summer 2012,06/01/2012,12.3
mcg/m3,Williamsburg - Bushwick,Summer 2013,06/01/2013,12.2
mcg/m3,Bayside - Little Neck,Winter 2014-15,12/01/2014,8.8
mcg/m3,Pelham - Throgs Neck,Summer 2009,06/01/2009,10.4
mcg/m3,Williamsburg - Bushwick,Annual Average 2021,01/01/2021,7.2
mcg/m3,Bayside - Little Neck,Annual Average 2021,01/01/2021,6.3
mcg/m3,Upper West Side,Annual Average 2013,12/01/2012,10.4
mcg/m3,Upper West Side,Winter 2010-11,12/01/2010,14.4
mcg/m3,Bayside - Little Neck,Winter 2015-16,12/01/2015,7.4
mcg/m3,Pelham - Throgs Neck,Summer 2011,06/01/2011,11.5
mcg/m3,Williamsburg - Bushwick,Winter 2021-22,12/01/2021,7.4
mcg/m3,Upper West Side,Summer 2012,06/01/2012,11.4
mcg/m3,Upper West Side,Annual Average 2016,12/31/2015,8.5
mcg/m3,Upper West Side,Summer 2013,06/01/2013,11.4
mcg/m3,East New York,Annual Average 2018,01/01/2018,7.1
mcg/m3,East New York,Summer 2021,06/01/2021,8.3
mcg/m3,East New York,Summer 2012,06/01/2012,9.7
ppb,Upper West Side,Winter 2010-11,12/01/2010,33.7
ppb,Upper West Side,Annual Average 2013,12/01/2012,26.5
ppb,Bayside - Little Neck,Winter 2010-11,12/01/2010,26.2
ppb,Williamsburg - Bushwick,Summer 2009,06/01/2009,23.1
ppb,Bayside - Little Neck,Annual Average 2017,01/01/2017,16.6
ppb,Williamsburg - Bushwick,Annual Average 2021,01/01/2021,19
ppb,Upper West Side,Annual Average 2017,01/01/2017,23.4
ppb,Upper West Side,Annual Average 2012,12/01/2011,27.1
mcg/m3,East New York,Annual Average 2016,12/31/2015,7.8
mcg/m3,Williamsburg - Bushwick,Summer 2021,06/01/2021,9.2
mcg/m3,Pelham - Throgs Neck,Summer 2012,06/01/2012,10.3
mcg/m3,Pelham - Throgs Neck,Summer 2013,06/01/2013,10.3
mcg/m3,East New York,Winter 2021-22,12/01/2021,6.7
mcg/m3,Pelham - Throgs Neck,Summer 2021,06/01/2021,8.5
mcg/m3,Pelham - Throgs Neck,Winter 2021-22,12/01/2021,7.2
mcg/m3,Southeast Queens,Winter 2014-15,12/01/2014,8.2
