Name,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Start_Date,Data Value
Ozone (O3),ppb,UHF34,403.0,Flushing - Clearview,2022-06-01,34.5
Nitrogen dioxide (NO2),ppb,UHF34,305307.0,Upper East Side-Gramercy,2022-06-01,17.3
Fine particles (PM 2.5),mcg/m3,UHF34,210.0,Coney Island - Sheepshead Bay,2022-06-01,5.8
Nitrogen dioxide (NO2),ppb,UHF34,211.0,Williamsburg - Bushwick,2022-06-01,12.7
Ozone (O3),ppb,UHF34,309310.0,Union Square-Lower Manhattan,2022-06-01,30.9
Nitrogen dioxide (NO2),ppb,UHF34,309310.0,Union Square-Lower Manhattan,2022-06-01,14.8
Ozone (O3),ppb,UHF34,401.0,Long Island City - Astoria,2022-06-01,32.9
Ozone (O3),ppb,UHF34,408.0,Jamaica,2022-06-01,34.4
Ozone (O3),ppb,UHF34,410.0,Rockaways,2022-06-01,37.5
Fine particles (PM 2.5),mcg/m3,CD,403.0,Jackson Heights (CD3),2022-06-01,6.8
Fine particles (PM 2.5),mcg/m3,CD,318.0,Flatlands and Canarsie (CD18),2022-06-01,5.9
Nitrogen dioxide (NO2),ppb,UHF34,306308.0,Chelsea-Village,2022-06-01,18.5
Nitrogen dioxide (NO2),ppb,UHF34,403.0,Flushing - Clearview,2022-06-01,11.0
Ozone (O3),ppb,UHF34,205.0,Sunset Park,2022-06-01,33.7
Nitrogen dioxide (NO2),ppb,UHF34,409.0,Southeast Queens,2022-06-01,9.8
Nitrogen dioxide (NO2),ppb,UHF34,408.0,Jamaica,2022-06-01,10.5
Nitrogen dioxide (NO2),ppb,UHF34,407.0,Southwest Queens,2022-06-01,9.7
Ozone (O3),ppb,UHF34,207.0,East Flatbush - Flatbush,2022-06-01,34.9
Nitrogen dioxide (NO2),ppb,UHF34,207.0,East Flatbush - Flatbush,2022-06-01,10.2
Nitrogen dioxide (NO2),ppb,CD,503.0,Tottenville and Great Kills (CD3),2022-06-01,6.8
Nitrogen dioxide (NO2),ppb,CD,318.0,Flatlands and Canarsie (CD18),2022-06-01,8.5
Fine particles (PM 2.5),mcg/m3,UHF34,202.0,Downtown - Heights - Slope,2022-06-01,6.9
Fine particles (PM 2.5),mcg/m3,UHF34,301.0,Washington Heights,2022-06-01,7.2
Nitrogen dioxide (NO2),ppb,UHF34,102.0,Northeast Bronx,2022-06-01,11.6
Ozone (O3),ppb,UHF34,202.0,Downtown - Heights - Slope,2022-06-01,32.3
Nitrogen dioxide (NO2),ppb,UHF34,202.0,Downtown - Heights - Slope,2022-06-01,13.4
Nitrogen dioxide (NO2),ppb,UHF34,405.0,Ridgewood - Forest Hills,2022-06-01,10.6
Fine particles (PM 2.5),mcg/m3,UHF34,209.0,Bensonhurst - Bay Ridge,2022-06-01,6.0
Ozone (O3),ppb,UHF42,306.0,Chelsea - Clinton,2022-06-01,28.8
Ozone (O3),ppb,UHF34,304.0,Upper West Side,2022-06-01,29.9
Ozone (O3),ppb,UHF34,203.0,Bedford Stuyvesant - Crown Heights,2022-06-01,33.7
Ozone (O3),ppb,UHF34,103.0,Fordham - Bronx Pk,2022-06-01,31.7
Nitrogen dioxide (NO2),ppb,UHF34,104.0,Pelham - Throgs Neck,2022-06-01,12.0
Nitrogen dioxide (NO2),ppb,UHF34,304.0,Upper West Side,2022-06-01,14.7
Ozone (O3),ppb,UHF34,211.0,Williamsburg - Bushwick,2022-06-01,33.2
Nitrogen dioxide (NO2),ppb,UHF34,209.0,Bensonhurst - Bay Ridge,2022-06-01,9.8
Ozone (O3),ppb,UHF34,501502.0,Northern SI,2022-06-01,34.6
Ozone (O3),ppb,UHF34,209.0,Bensonhurst - Bay Ridge,2022-06-01,35.8
Ozone (O3),ppb,UHF34,404406.0,Bayside Little Neck-Fresh Meadows,2022-06-01,33.7
Ozone (O3),ppb,UHF34,409.0,Southeast Queens,2022-06-01,34.7
Ozone (O3),ppb,UHF42,504.0,South Beach - Tottenville,2022-06-01,36.0
Ozone (O3),ppb,CD,103.0,Lower East Side and Chinatown (CD3),2022-06-01,31.4
Ozone (O3),ppb,CD,303.0,Bedford Stuyvesant (CD3),2022-06-01,33.2
Ozone (O3),ppb,CD,403.0,Jackson Heights (CD3),2022-06-01,34.2
Ozone (O3),ppb,CD,404.0,Elmhurst and Corona (CD4),2022-06-01,34.1
Nitrogen dioxide (NO2),ppb,CD,404.0,Elmhurst and Corona (CD4),2022-06-01,12.2
Ozone (O3),ppb,UHF42,310.0,Lower Manhattan,2022-06-01,30.3
Ozone (O3),ppb,Borough,3.0,Manhattan,2022-06-01,30.2
Nitrogen dioxide (NO2),ppb,UHF34,503504.0,Southern SI,2022-06-01,7.4
Ozone (O3),ppb,UHF34,503504.0,Southern SI,2022-06-01,35.6
Ozone (O3),ppb,UHF42,203.0,Bedford Stuyvesant - Crown Heights,2022-06-01,33.7
Ozone (O3),ppb,UHF34,210.0,Coney Island - Sheepshead Bay,2022-06-01,37.1
Nitrogen dioxide (NO2),ppb,CD,317.0,East Flatbush (CD17),2022-06-01,10.5
Nitrogen dioxide (NO2),ppb,UHF42,308.0,Greenwich Village - SoHo,2022-06-01,16.6
Nitrogen dioxide (NO2),ppb,UHF42,407.0,Southwest Queens,2022-06-01,9.7
Nitrogen dioxide (NO2),ppb,Borough,2.0,Brooklyn,2022-06-01,10.7
Nitrogen dioxide (NO2),ppb,UHF42,208.0,Canarsie - Flatlands,2022-06-01,8.6
Ozone (O3),ppb,UHF34,407.0,Southwest Queens,2022-06-01,35.2
Ozone (O3),ppb,UHF34,208.0,Canarsie - Flatlands,2022-06-01,36.1
Ozone (O3),ppb,Borough,4.0,Queens,2022-06-01,34.5
Ozone (O3),ppb,UHF34,206.0,Borough Park,2022-06-01,35.2
Ozone (O3),ppb,UHF34,105106107.0,South Bronx,2022-06-01,32.1
Fine particles (PM 2.5),mcg/m3,UHF34,302.0,Central Harlem - Morningside Heights,2022-06-01,7.1
Fine particles (PM 2.5),mcg/m3,UHF34,402.0,West Queens,2022-06-01,6.9
Fine particles (PM 2.5),mcg/m3,UHF34,102.0,Northeast Bronx,2022-06-01,7.1
Fine particles (PM 2.5),mcg/m3,UHF34,405.0,Ridgewood - Forest Hills,2022-06-01,6.5
Ozone (O3),ppb,UHF34,101.0,Kingsbridge - Riverdale,2022-06-01,30.0
Nitrogen dioxide (NO2),ppb,UHF34,302.0,Central Harlem - Morningside Heights,2022-06-01,13.2
Nitrogen dioxide (NO2),ppb,UHF34,402.0,West Queens,2022-06-01,12.8
Ozone (O3),ppb,UHF34,405.0,Ridgewood - Forest Hills,2022-06-01,34.2
Ozone (O3),ppb,UHF34,302.0,Central Harlem - Morningside Heights,2022-06-01,30.9
Ozone (O3),ppb,UHF34,301.0,Washington Heights,2022-06-01,29.9
Ozone (O3),ppb,UHF34,402.0,West Queens,2022-06-01,33.6
Ozone (O3),ppb,UHF34,102.0,Northeast Bronx,2022-06-01,32.2
Ozone (O3),ppb,UHF42,107.0,Hunts Point - Mott Haven,2022-06-01,32.9
Ozone (O3),ppb,UHF42,308.0,Greenwich Village - SoHo,2022-06-01,30.3
Ozone (O3),ppb,UHF42,410.0,Rockaways,2022-06-01,37.5
