nta,tree_count
 ,24027
BK09,2079
BK17,5275
BK19,1055
BK21,1398
BK23,366
BK25,3165
BK26,1117
BK27,1276
BK28,3751
BK29,2637
BK30,3608
BK31,6386
BK32,1635
BK33,3445
BK34,2140
BK35,2702
BK37,5818
BK38,3094
BK40,1819
BK41,2026
BK42,5971
BK43,4826
BK44,3163
BK45,6778
BK46,2293
BK50,6490
BK58,5216
BK60,2479
BK61,4402
BK63,2222
BK64,1326
BK68,1382
BK69,1747
BK72,1495
BK73,2170
BK75,2160
BK76,2620
BK77,1416
BK78,3033
BK79,889
BK81,2108
BK82,3666
BK83,1638
BK85,1402
BK88,5121
BK90,1581
BK91,2836
BK93,195
BK95,822
BK96,2912
BK99,370
BX01,666
BX03,2050
BX05,1254
BX06,691
BX07,1390
BX08,878
BX09,2166
BX10,3064
BX13,1962
BX14,981
BX17,1548
BX22,3170
BX26,598
BX27,1323
BX28,1767
BX29,1772
BX30,666
BX31,3930
BX33,911
BX34,752
BX35,924
BX36,1212
BX37,1997
BX39,890
BX40,435
BX41,1042
BX43,1387
BX44,2379
BX46,436
BX49,1833
BX52,3733
BX55,1168
BX59,1252
BX62,3889
BX63,937
BX75,673
BX99,130
MN01,1032
MN03,2172
MN04,1486
MN06,566
MN09,1836
MN11,1778
MN12,5233
MN13,2210
MN14,1828
MN15,1602
MN17,1142
MN19,2084
MN20,1623
MN21,1097
MN22,1306
MN23,3078
MN24,1584
MN25,959
MN27,681
MN28,1038
MN31,2239
MN32,2391
MN33,1163
MN34,1586
MN35,1167
MN36,1618
MN40,3888
MN50,330
MN99,77
QN01,3279
QN02,2625
QN03,2768
QN05,5052
QN06,4045
QN07,1808
QN08,5068
QN10,3994
QN12,1161
QN15,3073
QN17,8255
QN18,1993
QN19,4675
QN20,5542
QN21,5573
QN22,2669
QN23,2416
QN25,1987
QN26,1284
QN27,1568
QN28,7119
QN29,3730
QN30,2770
QN31,4722
QN33,3151
QN34,6104
QN35,2884
QN37,4481
QN38,4503
QN41,3289
QN42,5171
QN43,6634
QN44,7067
QN45,6547
QN46,10839
QN47,3377
QN48,5148
QN49,7748
QN50,2125
QN51,6961
QN52,3536
QN53,4524
QN54,4324
QN55,7951
QN56,3100
QN57,4378
QN60,1788
QN61,2781
QN62,2692
QN63,2699
QN66,3515
QN68,876
QN70,3209
QN71,915
QN72,4460
QN76,4328
QN98,12
QN99,462
SI01,13709
SI05,6416
SI07,5069
SI08,2416
SI11,7225
SI12,2320
SI14,2823
SI22,2833
SI24,4893
SI25,3968
SI28,2078
SI32,8530
SI35,3842
SI36,4552
SI37,2717
SI45,5037
SI48,7139
SI54,9852
